Origin,Day Transit,Zip Code
"Origin - Coppell, TX 75019",2,17777
"Origin - Coppell, TX 75019",2,17778
"Origin - Coppell, TX 75019",2,17779
"Origin - Coppell, TX 75019",2,17780
"Origin - Coppell, TX 75019",2,17781
"Origin - Coppell, TX 75019",2,17782
"Origin - Coppell, TX 75019",2,17783
"Origin - Coppell, TX 75019",2,17784
"Origin - Coppell, TX 75019",2,17785
"Origin - Coppell, TX 75019",2,17786
"Origin - Coppell, TX 75019",2,17787
"Origin - Coppell, TX 75019",2,17788
"Origin - Coppell, TX 75019",2,17789
"Origin - Coppell, TX 75019",2,17790
"Origin - Coppell, TX 75019",2,17791
"Origin - Coppell, TX 75019",2,17792
"Origin - Coppell, TX 75019",2,17793
"Origin - Coppell, TX 75019",2,17794
"Origin - Coppell, TX 75019",2,17795
"Origin - Coppell, TX 75019",2,17796
"Origin - Coppell, TX 75019",2,17797
"Origin - Coppell, TX 75019",2,17798
"Origin - Coppell, TX 75019",2,17799
"Origin - Coppell, TX 75019",2,17800
"Origin - Coppell, TX 75019",2,17801
"Origin - Coppell, TX 75019",2,17802
"Origin - Coppell, TX 75019",2,17803
"Origin - Coppell, TX 75019",2,17804
"Origin - Coppell, TX 75019",2,17805
"Origin - Coppell, TX 75019",2,17806
"Origin - Coppell, TX 75019",2,17807
"Origin - Coppell, TX 75019",2,17808
"Origin - Coppell, TX 75019",2,17809
"Origin - Coppell, TX 75019",2,17810
"Origin - Coppell, TX 75019",2,17811
"Origin - Coppell, TX 75019",2,17812
"Origin - Coppell, TX 75019",2,17813
"Origin - Coppell, TX 75019",2,17814
"Origin - Coppell, TX 75019",2,17815
"Origin - Coppell, TX 75019",2,17816
"Origin - Coppell, TX 75019",2,17817
"Origin - Coppell, TX 75019",2,17818
"Origin - Coppell, TX 75019",2,17819
"Origin - Coppell, TX 75019",2,17820
"Origin - Coppell, TX 75019",2,17821
"Origin - Coppell, TX 75019",2,17822
"Origin - Coppell, TX 75019",2,17823
"Origin - Coppell, TX 75019",2,17824
"Origin - Coppell, TX 75019",2,17825
"Origin - Coppell, TX 75019",2,17826
"Origin - Coppell, TX 75019",2,17827
"Origin - Coppell, TX 75019",2,17828
"Origin - Coppell, TX 75019",2,17829
"Origin - Coppell, TX 75019",2,17830
"Origin - Coppell, TX 75019",2,17831
"Origin - Coppell, TX 75019",2,17832
"Origin - Coppell, TX 75019",2,17833
"Origin - Coppell, TX 75019",2,17834
"Origin - Coppell, TX 75019",2,17835
"Origin - Coppell, TX 75019",2,17836
"Origin - Coppell, TX 75019",2,17837
"Origin - Coppell, TX 75019",2,17838
"Origin - Coppell, TX 75019",2,17839
"Origin - Coppell, TX 75019",2,17840
"Origin - Coppell, TX 75019",2,17841
"Origin - Coppell, TX 75019",2,17842
"Origin - Coppell, TX 75019",2,17843
"Origin - Coppell, TX 75019",2,17844
"Origin - Coppell, TX 75019",2,17845
"Origin - Coppell, TX 75019",2,17846
"Origin - Coppell, TX 75019",2,17847
"Origin - Coppell, TX 75019",2,17848
"Origin - Coppell, TX 75019",2,17849
"Origin - Coppell, TX 75019",2,17850
"Origin - Coppell, TX 75019",2,17851
"Origin - Coppell, TX 75019",2,17852
"Origin - Coppell, TX 75019",2,17853
"Origin - Coppell, TX 75019",2,17854
"Origin - Coppell, TX 75019",2,17855
"Origin - Coppell, TX 75019",2,17856
"Origin - Coppell, TX 75019",2,17857
"Origin - Coppell, TX 75019",2,17858
"Origin - Coppell, TX 75019",2,17859
"Origin - Coppell, TX 75019",2,17860
"Origin - Coppell, TX 75019",2,17861
"Origin - Coppell, TX 75019",2,17862
"Origin - Coppell, TX 75019",2,17863
"Origin - Coppell, TX 75019",2,17864
"Origin - Coppell, TX 75019",2,17865
"Origin - Coppell, TX 75019",2,17866
"Origin - Coppell, TX 75019",2,17867
"Origin - Coppell, TX 75019",2,17868
"Origin - Coppell, TX 75019",2,17869
"Origin - Coppell, TX 75019",2,17870
"Origin - Coppell, TX 75019",2,17871
"Origin - Coppell, TX 75019",2,17872
"Origin - Coppell, TX 75019",2,17873
"Origin - Coppell, TX 75019",2,17874
"Origin - Coppell, TX 75019",2,17875
"Origin - Coppell, TX 75019",2,17876
"Origin - Coppell, TX 75019",2,17877
"Origin - Coppell, TX 75019",2,17878
"Origin - Coppell, TX 75019",2,17879
"Origin - Coppell, TX 75019",2,17880
"Origin - Coppell, TX 75019",2,17881
"Origin - Coppell, TX 75019",2,17882
"Origin - Coppell, TX 75019",2,17883
"Origin - Coppell, TX 75019",2,17884
"Origin - Coppell, TX 75019",2,17885
"Origin - Coppell, TX 75019",2,17886
"Origin - Coppell, TX 75019",2,17887
"Origin - Coppell, TX 75019",2,17888
"Origin - Coppell, TX 75019",2,17889
"Origin - Coppell, TX 75019",2,17890
"Origin - Coppell, TX 75019",2,17891
"Origin - Coppell, TX 75019",2,17892
"Origin - Coppell, TX 75019",2,17893
"Origin - Coppell, TX 75019",2,17894
"Origin - Coppell, TX 75019",2,17895
"Origin - Coppell, TX 75019",2,17896
"Origin - Coppell, TX 75019",2,17897
"Origin - Coppell, TX 75019",2,17898
"Origin - Coppell, TX 75019",2,17899
"Origin - Coppell, TX 75019",2,17900
"Origin - Coppell, TX 75019",2,17901
"Origin - Coppell, TX 75019",2,17902
"Origin - Coppell, TX 75019",2,17903
"Origin - Coppell, TX 75019",2,17904
